 
PGA:,  0.20 g
PGV:,  11.94 cm/s
PGD:,  10.46 cm
Arias Intensity:,  61.77 cm/s
Significant duration:,  22.02 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.031	, 0.199
0.1010	, 0.106	, 6.585	, 0.418
0.2010	, 0.394	, 12.308	, 0.392
0.3010	, 0.863	, 18.017	, 0.383
0.4010	, 1.982	, 31.059	, 0.496
0.5010	, 2.316	, 29.047	, 0.371
0.6010	, 4.674	, 48.860	, 0.521
0.7010	, 3.620	, 32.447	, 0.296
0.8010	, 4.005	, 31.419	, 0.251
0.9010	, 3.630	, 25.317	, 0.180
1.0010	, 4.296	, 26.966	, 0.173
1.1010	, 4.549	, 25.958	, 0.151
1.2010	, 5.430	, 28.408	, 0.151
1.3010	, 5.302	, 25.607	, 0.126
1.4010	, 4.552	, 20.413	, 0.093
1.5010	, 4.294	, 17.974	, 0.077
1.6010	, 4.913	, 19.283	, 0.077
1.7010	, 5.402	, 19.955	, 0.075
1.8010	, 5.109	, 17.825	, 0.063
1.9010	, 5.056	, 16.710	, 0.056
2.0010	, 4.676	, 14.684	, 0.047
2.1010	, 4.292	, 12.835	, 0.039
2.2010	, 4.880	, 13.932	, 0.041
2.3010	, 5.596	, 15.282	, 0.043
2.4010	, 6.207	, 16.244	, 0.043
2.5010	, 6.455	, 16.216	, 0.042
2.6010	, 6.407	, 15.477	, 0.038
2.7010	, 6.109	, 14.210	, 0.034
2.8010	, 5.528	, 12.401	, 0.028
2.9010	, 5.443	, 11.788	, 0.026
3.0010	, 5.509	, 11.534	, 0.025
3.1010	, 5.569	, 11.285	, 0.023
3.2010	, 5.687	, 11.162	, 0.022
3.3010	, 5.997	, 11.415	, 0.022
3.4010	, 6.532	, 12.067	, 0.023
3.5010	, 7.158	, 12.846	, 0.024
3.6010	, 7.822	, 13.647	, 0.024
3.7010	, 8.449	, 14.343	, 0.025
3.8010	, 9.786	, 16.177	, 0.027
3.9010	, 11.756	, 18.934	, 0.031
4.0010	, 14.172	, 22.256	, 0.036
4.1010	, 16.370	, 25.080	, 0.039
4.2010	, 18.094	, 27.063	, 0.041
4.3010	, 19.295	, 28.188	, 0.042
4.4010	, 20.410	, 29.138	, 0.042
4.5010	, 21.345	, 29.797	, 0.042
4.6010	, 21.960	, 29.988	, 0.042
4.7010	, 22.138	, 29.589	, 0.040
4.8010	, 21.698	, 28.397	, 0.038
4.9010	, 20.694	, 26.530	, 0.035
5.0010	, 19.795	, 24.870	, 0.032
5.1010	, 19.578	, 24.115	, 0.030
5.2010	, 18.996	, 22.949	, 0.028
5.3010	, 18.678	, 22.138	, 0.027
5.4010	, 18.423	, 21.432	, 0.025
5.5010	, 18.097	, 20.671	, 0.024
5.6010	, 17.628	, 19.775	, 0.023
5.7010	, 17.076	, 18.819	, 0.021
5.8010	, 16.533	, 17.907	, 0.020
5.9010	, 15.879	, 16.907	, 0.018
6.0010	, 15.155	, 15.867	, 0.017
6.1010	, 14.412	, 14.843	, 0.016
6.2010	, 13.694	, 13.876	, 0.014
6.3010	, 13.015	, 12.978	, 0.013
6.4010	, 12.398	, 12.170	, 0.012
6.5010	, 11.861	, 11.464	, 0.011
6.6010	, 11.418	, 10.868	, 0.011
6.7010	, 11.072	, 10.381	, 0.010
6.8010	, 10.821	, 9.997	, 0.009
6.9010	, 10.660	, 9.706	, 0.009
