 
PGA:,  0.53 g
PGV:,  34.79 cm/s
PGD:,  29.04 cm
Arias Intensity:,  275.32 cm/s
Significant duration:,  10.11 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.082	, 0.526
0.1010	, 0.563	, 35.018	, 2.221
0.2010	, 0.603	, 18.841	, 0.600
0.3010	, 0.914	, 19.075	, 0.406
0.4010	, 1.640	, 25.699	, 0.410
0.5010	, 2.178	, 27.313	, 0.349
0.6010	, 4.292	, 44.870	, 0.478
0.7010	, 5.932	, 53.167	, 0.486
0.8010	, 5.704	, 44.739	, 0.358
0.9010	, 5.044	, 35.174	, 0.250
1.0010	, 3.294	, 20.678	, 0.132
1.1010	, 3.543	, 20.221	, 0.118
1.2010	, 3.859	, 20.191	, 0.108
1.3010	, 4.909	, 23.706	, 0.117
1.4010	, 5.167	, 23.173	, 0.106
1.5010	, 4.407	, 18.448	, 0.079
1.6010	, 4.260	, 16.718	, 0.067
1.7010	, 4.940	, 18.249	, 0.069
1.8010	, 5.956	, 20.778	, 0.074
1.9010	, 7.835	, 25.896	, 0.087
2.0010	, 10.076	, 31.640	, 0.101
2.1010	, 12.188	, 36.449	, 0.111
2.2010	, 13.593	, 38.803	, 0.113
2.3010	, 14.151	, 38.641	, 0.108
2.4010	, 15.081	, 39.465	, 0.105
2.5010	, 15.300	, 38.439	, 0.098
2.6010	, 14.883	, 35.953	, 0.089
2.7010	, 14.316	, 33.302	, 0.079
2.8010	, 13.391	, 30.039	, 0.069
2.9010	, 12.767	, 27.652	, 0.061
3.0010	, 12.057	, 25.244	, 0.054
3.1010	, 11.411	, 23.120	, 0.048
3.2010	, 10.909	, 21.414	, 0.043
3.3010	, 10.516	, 20.016	, 0.039
3.4010	, 10.278	, 18.989	, 0.036
3.5010	, 10.225	, 18.351	, 0.034
3.6010	, 10.340	, 18.041	, 0.032
3.7010	, 10.549	, 17.910	, 0.031
3.8010	, 10.765	, 17.794	, 0.030
3.9010	, 10.909	, 17.571	, 0.029
4.0010	, 10.941	, 17.182	, 0.028
4.1010	, 10.859	, 16.637	, 0.026
4.2010	, 10.805	, 16.160	, 0.025
4.3010	, 10.699	, 15.629	, 0.023
4.4010	, 10.796	, 15.412	, 0.022
4.5010	, 10.898	, 15.213	, 0.022
4.6010	, 10.719	, 14.638	, 0.020
4.7010	, 10.469	, 13.993	, 0.019
4.8010	, 10.583	, 13.851	, 0.018
4.9010	, 10.834	, 13.890	, 0.018
5.0010	, 11.128	, 13.981	, 0.018
5.1010	, 11.766	, 14.492	, 0.018
5.2010	, 12.491	, 15.090	, 0.019
5.3010	, 13.206	, 15.653	, 0.019
5.4010	, 13.878	, 16.145	, 0.019
5.5010	, 14.536	, 16.603	, 0.019
5.6010	, 15.272	, 17.132	, 0.020
5.7010	, 16.294	, 17.958	, 0.020
5.8010	, 17.383	, 18.828	, 0.021
5.9010	, 18.548	, 19.749	, 0.021
6.0010	, 19.709	, 20.635	, 0.022
6.1010	, 20.768	, 21.389	, 0.022
6.2010	, 21.751	, 22.040	, 0.023
6.3010	, 22.653	, 22.589	, 0.023
6.4010	, 23.465	, 23.033	, 0.023
6.5010	, 24.218	, 23.407	, 0.023
6.6010	, 25.024	, 23.819	, 0.023
6.7010	, 26.605	, 24.946	, 0.024
6.8010	, 28.152	, 26.009	, 0.024
6.9010	, 29.737	, 27.075	, 0.025
7.0010	, 31.410	, 28.189	, 0.026
7.1010	, 32.931	, 29.138	, 0.026
7.2010	, 34.350	, 29.972	, 0.027
7.3010	, 35.742	, 30.759	, 0.027
7.4010	, 37.070	, 31.471	, 0.027
7.5010	, 38.569	, 32.307	, 0.028
7.6010	, 40.173	, 33.208	, 0.028
7.7010	, 41.708	, 34.029	, 0.028
7.8010	, 43.196	, 34.791	, 0.029
7.9010	, 44.603	, 35.470	, 0.029
8.0010	, 46.001	, 36.125	, 0.029
8.1010	, 47.422	, 36.781	, 0.029
8.2010	, 48.795	, 37.384	, 0.029
8.3010	, 50.049	, 37.883	, 0.029
8.4010	, 51.178	, 38.277	, 0.029
8.5010	, 52.187	, 38.572	, 0.029
8.6010	, 53.084	, 38.779	, 0.029
8.7010	, 53.886	, 38.913	, 0.029
8.8010	, 54.578	, 38.964	, 0.028
8.9010	, 55.134	, 38.919	, 0.028
9.0010	, 55.546	, 38.774	, 0.028
9.1010	, 55.795	, 38.520	, 0.027
9.2010	, 55.875	, 38.156	, 0.027
9.3010	, 55.800	, 37.695	, 0.026
9.4010	, 56.313	, 37.637	, 0.026
9.5010	, 56.832	, 37.584	, 0.025
9.6010	, 57.280	, 37.486	, 0.025
9.7010	, 57.678	, 37.357	, 0.025
9.8010	, 58.004	, 37.185	, 0.024
9.9010	, 58.306	, 37.001	, 0.024
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0000512	0.0000000	0.0000000	0.0000000
0.005	-0.0000512	-0.0002511	-0.0000006	0.0000000
0.010	-0.0000511	-0.0005018	-0.0000025	0.0000000
0.015	-0.0000510	-0.0007524	-0.0000056	0.0000000
0.020	-0.0000510	-0.0010026	-0.0000100	0.0000000
0.025	-0.0000509	-0.0012526	-0.0000157	0.0000000
