 
PGA:,  0.23 g
PGV:,  15.61 cm/s
PGD:,  1.96 cm
Arias Intensity:,  53.47 cm/s
Significant duration:,  33.83 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.036	, 0.232
0.1010	, 0.151	, 9.376	, 0.595
0.2010	, 0.589	, 18.406	, 0.587
0.3010	, 1.079	, 22.526	, 0.479
0.4010	, 1.430	, 22.399	, 0.358
0.5010	, 2.513	, 31.518	, 0.403
0.6010	, 2.862	, 29.923	, 0.319
0.7010	, 2.932	, 26.284	, 0.240
0.8010	, 2.562	, 20.100	, 0.161
0.9010	, 2.703	, 18.852	, 0.134
1.0010	, 2.625	, 16.479	, 0.105
1.1010	, 2.136	, 12.188	, 0.071
1.2010	, 2.249	, 11.768	, 0.063
1.3010	, 2.244	, 10.840	, 0.053
1.4010	, 2.039	, 9.146	, 0.042
1.5010	, 2.064	, 8.639	, 0.037
1.6010	, 2.237	, 8.780	, 0.035
1.7010	, 2.375	, 8.771	, 0.033
1.8010	, 2.465	, 8.601	, 0.031
1.9010	, 2.507	, 8.285	, 0.028
2.0010	, 2.570	, 8.070	, 0.026
2.1010	, 2.740	, 8.193	, 0.025
2.2010	, 3.100	, 8.850	, 0.026
2.3010	, 3.412	, 9.316	, 0.026
2.4010	, 3.745	, 9.801	, 0.026
2.5010	, 3.572	, 8.975	, 0.023
2.6010	, 3.205	, 7.742	, 0.019
2.7010	, 3.091	, 7.189	, 0.017
2.8010	, 3.044	, 6.829	, 0.016
2.9010	, 3.061	, 6.631	, 0.015
3.0010	, 3.078	, 6.444	, 0.014
3.1010	, 3.070	, 6.220	, 0.013
3.2010	, 3.027	, 5.942	, 0.012
3.3010	, 3.076	, 5.854	, 0.011
3.4010	, 3.353	, 6.195	, 0.012
3.5010	, 3.583	, 6.431	, 0.012
3.6010	, 3.795	, 6.622	, 0.012
3.7010	, 3.853	, 6.541	, 0.011
3.8010	, 3.801	, 6.283	, 0.011
3.9010	, 3.690	, 5.943	, 0.010
4.0010	, 3.553	, 5.579	, 0.009
4.1010	, 3.942	, 6.040	, 0.009
4.2010	, 4.227	, 6.322	, 0.010
4.3010	, 4.282	, 6.256	, 0.009
4.4010	, 4.303	, 6.143	, 0.009
4.5010	, 4.374	, 6.106	, 0.009
4.6010	, 4.347	, 5.936	, 0.008
4.7010	, 4.239	, 5.666	, 0.008
4.8010	, 4.078	, 5.337	, 0.007
4.9010	, 3.972	, 5.092	, 0.007
5.0010	, 3.895	, 4.894	, 0.006
5.1010	, 3.815	, 4.699	, 0.006
5.2010	, 3.718	, 4.491	, 0.006
5.3010	, 3.702	, 4.388	, 0.005
5.4010	, 3.749	, 4.361	, 0.005
5.5010	, 3.781	, 4.319	, 0.005
5.6010	, 3.794	, 4.256	, 0.005
5.7010	, 3.783	, 4.170	, 0.005
5.8010	, 3.746	, 4.058	, 0.004
5.9010	, 3.683	, 3.921	, 0.004
6.0010	, 3.596	, 3.765	, 0.004
6.1010	, 3.545	, 3.651	, 0.004
6.2010	, 3.594	, 3.642	, 0.004
6.3010	, 3.640	, 3.629	, 0.004
6.4010	, 3.675	, 3.607	, 0.004
6.5010	, 3.698	, 3.574	, 0.004
6.6010	, 3.707	, 3.529	, 0.003
6.7010	, 3.704	, 3.473	, 0.003
6.8010	, 3.690	, 3.409	, 0.003
6.9010	, 3.665	, 3.337	, 0.003
7.0010	, 3.631	, 3.259	, 0.003
7.1010	, 3.589	, 3.176	, 0.003
7.2010	, 3.541	, 3.090	, 0.003
7.3010	, 3.487	, 3.001	, 0.003
7.4010	, 3.429	, 2.911	, 0.003
7.5010	, 3.368	, 2.821	, 0.002
7.6010	, 3.304	, 2.731	, 0.002
7.7010	, 3.238	, 2.642	, 0.002
7.8010	, 3.170	, 2.554	, 0.002
7.9010	, 3.103	, 2.467	, 0.002
8.0010	, 3.035	, 2.383	, 0.002
8.1010	, 2.968	, 2.302	, 0.002
8.2010	, 2.908	, 2.228	, 0.002
8.3010	, 2.848	, 2.155	, 0.002
8.4010	, 2.788	, 2.085	, 0.002
8.5010	, 2.728	, 2.017	, 0.002
8.6010	, 2.670	, 1.950	, 0.001
8.7010	, 2.612	, 1.886	, 0.001
8.8010	, 2.555	, 1.824	, 0.001
8.9010	, 2.499	, 1.764	, 0.001
9.0010	, 2.528	, 1.765	, 0.001
9.1010	, 2.576	, 1.779	, 0.001
9.2010	, 2.610	, 1.782	, 0.001
9.3010	, 2.630	, 1.777	, 0.001
9.4010	, 2.637	, 1.763	, 0.001
9.5010	, 2.634	, 1.742	, 0.001
9.6010	, 2.622	, 1.716	, 0.001
9.7010	, 2.607	, 1.688	, 0.001
9.8010	, 2.591	, 1.661	, 0.001
9.9010	, 2.565	, 1.628	, 0.001
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0001778	0.0000000	0.0000000	0.0000000
0.005	0.0001783	0.0008733	0.0000022	0.0000000
0.010	0.0001784	0.0017481	0.0000087	0.0000000
0.015	0.0001781	0.0026224	0.0000197	0.0000000
0.020	0.0001776	0.0034949	0.0000350	0.0000000
0.025	0.0001776	0.0043660	0.0000546	0.0000000
0.030	0.0001784	0.0052391	0.0000786	0.0000000
0.035	0.0001807	0.0061198	0.0001070	0.0000000
0.040	0.0001835	0.0070129	0.0001398	0.0000000
0.045	0.0001858	0.0079186	0.0001772	0.0000000
0.050	0.0001874	0.0088340	0.0002191	0.0000000
0.055	0.0001893	0.0097580	0.0002655	0.0000001
0.060	0.0001915	0.0106918	0.0003167	0.0000001
0.065	0.0001923	0.0116330	0.0003725	0.0000001
0.070	0.0001897	0.0125701	0.0004330	0.0000001
0.075	0.0001838	0.0134861	0.0004981	0.0000001
0.080	0.0001788	0.0143752	0.0005678	0.0000001
0.085	0.0001803	0.0152559	0.0006419	0.0000001
0.090	0.0001899	0.0161637	0.0007204	0.0000001
0.095	0.0002057	0.0171338	0.0008036	0.0000001
0.100	0.0002207	0.0181794	0.0008919	0.0000001
0.105	0.0002251	0.0192727	0.0009856	0.0000001
0.110	0.0002183	0.0203602	0.0010846	0.0000001
0.115	0.0002105	0.0214119	0.0011891	0.0000001
0.120	0.0002061	0.0224336	0.0012987	0.0000001
0.125	0.0001967	0.0234215	0.0014133	0.0000001
0.130	0.0001783	0.0243411	0.0015327	0.0000001
0.135	0.0001538	0.0251555	0.0016565	0.0000001
0.140	0.0001270	0.0258440	0.0017840	0.0000001
0.145	0.0001053	0.0264138	0.0019146	0.0000001
0.150	0.0001025	0.0269234	0.0020480	0.0000001
0.155	0.0001297	0.0274928	0.0021840	0.0000001
0.160	0.0001782	0.0282479	0.0023234	0.0000002
0.165	0.0002305	0.0292502	0.0024671	0.0000002
0.170	0.0002831	0.0305097	0.0026165	0.0000002
0.175	0.0003387	0.0320346	0.0027729	0.0000002
0.180	0.0003748	0.0337843	0.0029374	0.0000002
0.185	0.0003590	0.0355839	0.0031108	0.0000002
0.190	0.0002957	0.0371896	0.0032928	0.0000002
0.195	0.0002175	0.0384481	0.0034819	0.0000002
0.200	0.0001406	0.0393264	0.0036763	0.0000003
0.205	0.0000652	0.0398312	0.0038742	0.0000003
0.210	0.0000025	0.0399972	0.0040738	0.0000003
0.215	-0.0000273	0.0399362	0.0042736	0.0000003
0.220	-0.0000191	0.0398223	0.0044730	0.0000003
0.225	0.0000180	0.0398195	0.0046721	0.0000003
0.230	0.0001067	0.0401253	0.0048720	0.0000003
0.235	0.0002581	0.0410202	0.0050748	0.0000003
0.240	0.0004209	0.0426855	0.0052841	0.0000003
0.245	0.0005370	0.0450348	0.0055034	0.0000003
0.250	0.0005823	0.0477800	0.0057354	0.0000004
0.255	0.0005436	0.0505412	0.0059812	0.0000004
0.260	0.0004447	0.0529649	0.0062400	0.0000004
0.265	0.0003457	0.0549034	0.0065097	0.0000005
0.270	0.0002666	0.0564051	0.0067879	0.0000005
0.275	0.0001803	0.0575011	0.0070727	0.0000005
0.280	0.0000985	0.0581848	0.0073619	0.0000005
0.285	0.0000931	0.0586547	0.0076540	0.0000005
0.290	0.0001853	0.0593376	0.0079490	0.0000005
0.295	0.0002969	0.0605201	0.0082486	0.0000005
0.300	0.0003570	0.0621236	0.0085552	0.0000005
0.305	0.0004001	0.0639803	0.0088705	0.0000005
0.310	0.0004960	0.0661781	0.0091959	0.0000006
0.315	0.0006176	0.0689092	0.0095336	0.0000006
0.320	0.0006647	0.0720540	0.0098860	0.0000007
0.325	0.0005584	0.0750535	0.0102538	0.0000007
0.330	0.0003135	0.0771918	0.0106344	0.0000008
0.335	0.0000584	0.0781040	0.0110226	0.0000008
0.340	-0.0000639	0.0780905	0.0114131	0.0000008
0.345	-0.0000159	0.0778948	0.0118031	0.0000008
0.350	0.0001345	0.0781858	0.0121933	0.0000008
0.355	0.0003166	0.0792922	0.0125870	0.0000008
0.360	0.0004381	0.0811431	0.0129881	0.0000008
0.365	0.0004453	0.0833097	0.0133992	0.0000008
0.370	0.0004071	0.0854002	0.0138210	0.0000008
0.375	0.0003852	0.0873433	0.0142528	0.0000009
0.380	0.0003709	0.0891978	0.0146942	0.0000009
0.385	0.0003593	0.0909886	0.0151447	0.0000009
0.390	0.0003818	0.0928061	0.0156041	0.0000009
0.395	0.0003972	0.0947166	0.0160730	0.0000009
0.400	0.0003164	0.0964666	0.0165509	0.0000010
0.405	0.0001843	0.0976944	0.0170363	0.0000010
0.410	0.0000713	0.0983211	0.0175264	0.0000010
0.415	-0.0000421	0.0983927	0.0180181	0.0000010
0.420	-0.0001267	0.0979787	0.0185091	0.0000010
0.425	-0.0001134	0.0973899	0.0189975	0.0000010
0.430	-0.0000193	0.0970645	0.0194836	0.0000010
0.435	0.0000823	0.0972190	0.0199693	0.0000010
0.440	0.0001047	0.0976776	0.0204566	0.0000010
0.445	0.0000449	0.0980445	0.0209459	0.0000010
0.450	0.0000355	0.0982416	0.0214366	0.0000010
0.455	0.0001151	0.0986110	0.0219287	0.0000010
0.460	0.0002027	0.0993904	0.0224237	0.0000010
0.465	0.0003240	0.1006821	0.0229239	0.0000010
0.470	0.0005293	0.1027747	0.0234326	0.0000010
0.475	0.0007105	0.1058154	0.0239540	0.0000011
0.480	0.0007188	0.1093209	0.0244919	0.0000012
0.485	0.0006257	0.1126185	0.0250467	0.0000012
0.490	0.0005673	0.1155444	0.0256171	0.0000013
0.495	0.0004684	0.1180845	0.0262012	0.0000013
0.500	0.0002119	0.1197529	0.0267958	0.0000013
0.505	-0.0001120	0.1199980	0.0273952	0.0000013
0.510	-0.0003035	0.1189792	0.0279926	0.0000013
0.515	-0.0003190	0.1174525	0.0285837	0.0000014
0.520	-0.0002276	0.1161118	0.0291676	0.0000014
0.525	-0.0000040	0.1155438	0.0297467	0.0000014
