 
PGA:,  0.09 g
PGV:,  18.84 cm/s
PGD:,  24.65 cm
Arias Intensity:,  35.04 cm/s
Significant duration:,  163.63 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.014	, 0.088
0.1010	, 0.035	, 2.171	, 0.138
0.2010	, 0.142	, 4.448	, 0.142
0.3010	, 0.433	, 9.043	, 0.192
0.4010	, 0.935	, 14.651	, 0.234
0.5010	, 1.204	, 15.104	, 0.193
0.6010	, 2.025	, 21.166	, 0.226
0.7010	, 1.958	, 17.547	, 0.160
0.8010	, 1.934	, 15.167	, 0.121
0.9010	, 2.307	, 16.085	, 0.114
1.0010	, 2.110	, 13.246	, 0.085
1.1010	, 3.025	, 17.265	, 0.100
1.2010	, 3.652	, 19.107	, 0.102
1.3010	, 2.872	, 13.870	, 0.068
1.4010	, 3.466	, 15.545	, 0.071
1.5010	, 3.869	, 16.194	, 0.069
1.6010	, 5.065	, 19.877	, 0.080
1.7010	, 6.349	, 23.454	, 0.088
1.8010	, 7.112	, 24.811	, 0.088
1.9010	, 9.868	, 32.615	, 0.110
2.0010	, 11.382	, 35.741	, 0.114
2.1010	, 11.164	, 33.387	, 0.102
2.2010	, 12.276	, 35.043	, 0.102
2.3010	, 14.815	, 40.455	, 0.113
2.4010	, 16.110	, 42.159	, 0.112
2.5010	, 16.294	, 40.935	, 0.105
2.6010	, 15.557	, 37.581	, 0.093
2.7010	, 14.931	, 34.733	, 0.082
2.8010	, 15.442	, 34.639	, 0.079
2.9010	, 16.152	, 34.983	, 0.077
3.0010	, 16.248	, 34.019	, 0.073
3.1010	, 16.949	, 34.342	, 0.071
3.2010	, 17.577	, 34.501	, 0.069
3.3010	, 18.278	, 34.791	, 0.068
3.4010	, 19.426	, 35.888	, 0.068
3.5010	, 21.176	, 38.003	, 0.070
3.6010	, 23.388	, 40.808	, 0.073
3.7010	, 25.308	, 42.965	, 0.074
3.8010	, 27.145	, 44.871	, 0.076
3.9010	, 30.840	, 49.672	, 0.082
4.0010	, 35.275	, 55.396	, 0.089
4.1010	, 39.067	, 59.855	, 0.093
4.2010	, 40.600	, 60.722	, 0.093
4.3010	, 40.312	, 58.890	, 0.088
4.4010	, 39.871	, 56.923	, 0.083
4.5010	, 39.843	, 55.620	, 0.079
4.6010	, 39.651	, 54.147	, 0.075
4.7010	, 39.495	, 52.787	, 0.072
4.8010	, 40.896	, 53.521	, 0.071
4.9010	, 44.351	, 56.859	, 0.074
5.0010	, 48.901	, 61.438	, 0.079
