 
PGA:,  0.17 g
PGV:,  22.15 cm/s
PGD:,  24.43 cm
Arias Intensity:,  59.50 cm/s
Significant duration:,  93.45 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.026	, 0.169
0.1010	, 0.046	, 2.891	, 0.183
0.2010	, 0.259	, 8.108	, 0.258
0.3010	, 1.374	, 28.691	, 0.610
0.4010	, 1.914	, 29.995	, 0.479
0.5010	, 3.075	, 38.569	, 0.493
0.6010	, 2.432	, 25.423	, 0.271
0.7010	, 3.381	, 30.305	, 0.277
0.8010	, 5.618	, 44.069	, 0.352
0.9010	, 6.823	, 47.581	, 0.338
1.0010	, 8.812	, 55.310	, 0.354
1.1010	, 7.896	, 45.061	, 0.262
1.2010	, 7.299	, 38.187	, 0.204
1.3010	, 8.128	, 39.252	, 0.193
1.4010	, 8.934	, 40.065	, 0.183
1.5010	, 9.678	, 40.514	, 0.173
1.6010	, 10.719	, 42.066	, 0.168
1.7010	, 10.520	, 38.857	, 0.146
1.8010	, 10.378	, 36.206	, 0.129
1.9010	, 9.955	, 32.905	, 0.111
2.0010	, 10.361	, 32.533	, 0.104
2.1010	, 10.739	, 32.116	, 0.098
2.2010	, 11.023	, 31.467	, 0.092
2.3010	, 11.726	, 32.019	, 0.089
2.4010	, 12.363	, 32.353	, 0.086
2.5010	, 13.297	, 33.405	, 0.086
2.6010	, 16.129	, 38.961	, 0.096
2.7010	, 17.251	, 40.130	, 0.095
2.8010	, 19.135	, 42.923	, 0.098
2.9010	, 18.822	, 40.767	, 0.090
3.0010	, 18.658	, 39.063	, 0.083
3.1010	, 18.825	, 38.143	, 0.079
3.2010	, 17.699	, 34.740	, 0.070
3.3010	, 17.471	, 33.254	, 0.065
3.4010	, 19.220	, 35.507	, 0.067
3.5010	, 20.644	, 37.049	, 0.068
3.6010	, 20.101	, 35.073	, 0.062
3.7010	, 20.232	, 34.347	, 0.059
3.8010	, 20.332	, 33.610	, 0.057
3.9010	, 19.901	, 32.054	, 0.053
4.0010	, 18.918	, 29.709	, 0.048
4.1010	, 17.468	, 26.763	, 0.042
4.2010	, 18.477	, 27.635	, 0.042
4.3010	, 18.879	, 27.580	, 0.041
4.4010	, 18.167	, 25.936	, 0.038
4.5010	, 16.732	, 23.358	, 0.033
4.6010	, 15.105	, 20.628	, 0.029
4.7010	, 15.754	, 21.057	, 0.029
4.8010	, 16.642	, 21.780	, 0.029
4.9010	, 17.537	, 22.483	, 0.029
5.0010	, 18.278	, 22.964	, 0.029
5.1010	, 18.745	, 23.089	, 0.029
5.2010	, 18.876	, 22.804	, 0.028
5.3010	, 18.638	, 22.091	, 0.027
5.4010	, 18.037	, 20.984	, 0.025
5.5010	, 18.329	, 20.936	, 0.024
5.6010	, 18.567	, 20.828	, 0.024
5.7010	, 19.717	, 21.730	, 0.024
5.8010	, 21.164	, 22.924	, 0.025
5.9010	, 22.112	, 23.544	, 0.026
6.0010	, 22.582	, 23.644	, 0.025
6.1010	, 22.642	, 23.318	, 0.024
6.2010	, 22.605	, 22.905	, 0.024
6.3010	, 23.275	, 23.209	, 0.024
6.4010	, 24.078	, 23.635	, 0.024
6.5010	, 24.525	, 23.704	, 0.023
6.6010	, 24.654	, 23.467	, 0.023
6.7010	, 24.523	, 22.994	, 0.022
6.8010	, 24.178	, 22.337	, 0.021
6.9010	, 23.660	, 21.542	, 0.020
7.0010	, 23.159	, 20.784	, 0.019
7.1010	, 23.336	, 20.649	, 0.019
7.2010	, 23.049	, 20.111	, 0.018
7.3010	, 22.299	, 19.191	, 0.017
7.4010	, 21.119	, 17.929	, 0.016
7.5010	, 21.115	, 17.687	, 0.015
7.6010	, 21.193	, 17.519	, 0.015
7.7010	, 21.308	, 17.385	, 0.014
7.8010	, 21.295	, 17.152	, 0.014
7.9010	, 21.152	, 16.821	, 0.014
8.0010	, 20.876	, 16.394	, 0.013
8.1010	, 21.029	, 16.310	, 0.013
8.2010	, 21.473	, 16.452	, 0.013
8.3010	, 21.891	, 16.570	, 0.013
8.4010	, 22.283	, 16.666	, 0.013
8.5010	, 22.649	, 16.740	, 0.013
8.6010	, 22.990	, 16.795	, 0.013
8.7010	, 23.311	, 16.833	, 0.012
8.8010	, 23.612	, 16.857	, 0.012
8.9010	, 23.894	, 16.867	, 0.012
9.0010	, 24.156	, 16.862	, 0.012
9.1010	, 24.398	, 16.844	, 0.012
9.2010	, 24.622	, 16.814	, 0.012
9.3010	, 24.829	, 16.773	, 0.012
9.4010	, 25.021	, 16.723	, 0.011
9.5010	, 25.199	, 16.664	, 0.011
9.6010	, 25.364	, 16.599	, 0.011
9.7010	, 25.517	, 16.527	, 0.011
9.8010	, 25.660	, 16.450	, 0.011
9.9010	, 25.794	, 16.369	, 0.011
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0000314	0.0000000	0.0000000	0.0000000
0.004	-0.0000313	-0.0001231	-0.0000002	0.0000000
0.008	-0.0000312	-0.0002459	-0.0000010	0.0000000
0.012	-0.0000312	-0.0003683	-0.0000022	0.0000000
0.016	-0.0000311	-0.0004905	-0.0000039	0.0000000
0.020	-0.0000310	-0.0006123	-0.0000061	0.0000000
0.024	-0.0000309	-0.0007337	-0.0000088	0.0000000
0.028	-0.0000308	-0.0008549	-0.0000120	0.0000000
0.032	-0.0000307	-0.0009756	-0.0000157	0.0000000
0.036	-0.0000307	-0.0010961	-0.0000198	0.0000000
0.040	-0.0000306	-0.0012163	-0.0000244	0.0000000
0.044	-0.0000305	-0.0013361	-0.0000295	0.0000000
0.048	-0.0000304	-0.0014557	-0.0000351	0.0000000
0.052	-0.0000303	-0.0015749	-0.0000412	0.0000000
0.056	-0.0000303	-0.0016938	-0.0000477	0.0000000
0.060	-0.0000302	-0.0018124	-0.0000547	0.0000000
0.064	-0.0000301	-0.0019307	-0.0000622	0.0000000
0.068	-0.0000300	-0.0020487	-0.0000702	0.0000000
0.072	-0.0000299	-0.0021662	-0.0000786	0.0000000
0.076	-0.0000298	-0.0022832	-0.0000875	0.0000000
0.080	-0.0000297	-0.0023999	-0.0000969	0.0000000
0.084	-0.0000297	-0.0025163	-0.0001067	0.0000000
0.088	-0.0000296	-0.0026327	-0.0001170	0.0000000
0.092	-0.0000296	-0.0027488	-0.0001278	0.0000000
0.096	-0.0000295	-0.0028647	-0.0001390	0.0000000
0.100	-0.0000294	-0.0029801	-0.0001507	0.0000000
0.104	-0.0000292	-0.0030950	-0.0001628	0.0000000
0.108	-0.0000291	-0.0032096	-0.0001754	0.0000000
0.112	-0.0000290	-0.0033235	-0.0001885	0.0000000
0.116	-0.0000288	-0.0034369	-0.0002020	0.0000000
0.120	-0.0000287	-0.0035497	-0.0002160	0.0000000
0.124	-0.0000286	-0.0036621	-0.0002304	0.0000000
0.128	-0.0000287	-0.0037745	-0.0002453	0.0000000
0.132	-0.0000288	-0.0038874	-0.0002606	0.0000000
0.136	-0.0000289	-0.0040006	-0.0002764	0.0000000
0.140	-0.0000288	-0.0041138	-0.0002926	0.0000000
0.144	-0.0000285	-0.0042263	-0.0003093	0.0000000
0.148	-0.0000284	-0.0043379	-0.0003264	0.0000000
0.152	-0.0000283	-0.0044491	-0.0003440	0.0000000
0.156	-0.0000282	-0.0045600	-0.0003620	0.0000000
0.160	-0.0000281	-0.0046704	-0.0003805	0.0000000
0.164	-0.0000280	-0.0047805	-0.0003994	0.0000000
0.168	-0.0000280	-0.0048902	-0.0004187	0.0000000
0.172	-0.0000278	-0.0049997	-0.0004385	0.0000000
0.176	-0.0000277	-0.0051087	-0.0004587	0.0000000
0.180	-0.0000276	-0.0052173	-0.0004794	0.0000000
0.184	-0.0000277	-0.0053260	-0.0005005	0.0000000
0.188	-0.0000279	-0.0054351	-0.0005220	0.0000000
0.192	-0.0000279	-0.0055445	-0.0005439	0.0000000
0.196	-0.0000277	-0.0056536	-0.0005663	0.0000000
0.200	-0.0000274	-0.0057618	-0.0005892	0.0000000
0.204	-0.0000272	-0.0058690	-0.0006124	0.0000000
0.208	-0.0000270	-0.0059754	-0.0006361	0.0000000
0.212	-0.0000271	-0.0060815	-0.0006602	0.0000000
