 
PGA:,  0.41 g
PGV:,  111.47 cm/s
PGD:,  44.64 cm
Arias Intensity:,  258.59 cm/s
Significant duration:,  13.28 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.064	, 0.411
0.1010	, 0.116	, 7.221	, 0.458
0.2010	, 0.567	, 17.720	, 0.565
0.3010	, 2.055	, 42.889	, 0.913
0.4010	, 3.864	, 60.547	, 0.967
0.5010	, 4.221	, 52.940	, 0.677
0.6010	, 5.862	, 61.285	, 0.653
0.7010	, 10.606	, 95.064	, 0.869
0.8010	, 15.866	, 124.456	, 0.995
0.9010	, 16.994	, 118.505	, 0.842
1.0010	, 27.492	, 172.567	, 1.104
1.1010	, 27.303	, 155.811	, 0.906
1.2010	, 28.102	, 147.019	, 0.784
1.3010	, 30.691	, 148.220	, 0.730
1.4010	, 32.752	, 146.887	, 0.672
1.5010	, 34.597	, 144.824	, 0.618
1.6010	, 36.449	, 143.046	, 0.572
1.7010	, 38.307	, 141.499	, 0.533
1.8010	, 40.373	, 140.850	, 0.501
1.9010	, 43.505	, 143.792	, 0.484
2.0010	, 47.413	, 148.878	, 0.477
2.1010	, 53.681	, 160.538	, 0.489
2.2010	, 60.123	, 171.633	, 0.499
2.3010	, 65.729	, 179.481	, 0.500
2.4010	, 76.682	, 200.670	, 0.535
2.5010	, 85.610	, 215.074	, 0.551
2.6010	, 93.500	, 225.865	, 0.556
2.7010	, 100.541	, 233.884	, 0.555
2.8010	, 106.273	, 238.391	, 0.545
2.9010	, 109.483	, 237.127	, 0.524
3.0010	, 110.020	, 230.349	, 0.492
3.1010	, 108.344	, 219.525	, 0.453
3.2010	, 105.461	, 207.007	, 0.414
3.3010	, 107.047	, 203.756	, 0.395
3.4010	, 107.281	, 198.196	, 0.373
3.5010	, 106.251	, 190.687	, 0.349
3.6010	, 104.144	, 181.715	, 0.323
3.7010	, 101.275	, 171.934	, 0.298
3.8010	, 97.917	, 161.861	, 0.273
3.9010	, 94.166	, 151.670	, 0.249
4.0010	, 90.026	, 141.376	, 0.226
4.1010	, 85.552	, 131.076	, 0.205
4.2010	, 83.845	, 125.401	, 0.191
4.3010	, 83.166	, 121.495	, 0.181
4.4010	, 82.343	, 117.558	, 0.171
4.5010	, 81.397	, 113.626	, 0.162
