 
PGA:,  0.28 g
PGV:,  22.96 cm/s
PGD:,  5.89 cm
Arias Intensity:,  46.24 cm/s
Significant duration:,  27.77 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.044	, 0.280
0.1010	, 0.077	, 4.789	, 0.304
0.2010	, 0.520	, 16.267	, 0.518
0.3010	, 1.340	, 27.975	, 0.595
0.4010	, 2.293	, 35.923	, 0.574
0.5010	, 3.138	, 39.358	, 0.503
0.6010	, 3.825	, 39.992	, 0.426
0.7010	, 5.190	, 46.519	, 0.425
0.8010	, 6.173	, 48.419	, 0.387
0.9010	, 6.576	, 45.858	, 0.326
1.0010	, 6.565	, 41.206	, 0.264
1.1010	, 6.390	, 36.466	, 0.212
1.2010	, 6.913	, 36.168	, 0.193
1.3010	, 7.092	, 34.251	, 0.169
1.4010	, 6.365	, 28.546	, 0.131
1.5010	, 7.043	, 29.480	, 0.126
1.6010	, 8.857	, 34.759	, 0.139
1.7010	, 12.341	, 45.584	, 0.172
1.8010	, 15.924	, 55.555	, 0.198
1.9010	, 16.784	, 55.475	, 0.187
2.0010	, 14.669	, 46.062	, 0.147
2.1010	, 12.149	, 36.333	, 0.111
2.2010	, 12.590	, 35.942	, 0.105
2.3010	, 12.585	, 34.365	, 0.096
2.4010	, 12.339	, 32.290	, 0.086
2.5010	, 11.972	, 30.077	, 0.077
2.6010	, 11.475	, 27.720	, 0.068
2.7010	, 11.830	, 27.520	, 0.065
2.8010	, 13.166	, 29.535	, 0.068
2.9010	, 14.407	, 31.203	, 0.069
3.0010	, 14.860	, 31.113	, 0.066
3.1010	, 14.539	, 29.459	, 0.061
3.2010	, 13.947	, 27.377	, 0.055
3.3010	, 13.911	, 26.478	, 0.051
3.4010	, 13.728	, 25.362	, 0.048
3.5010	, 13.393	, 24.036	, 0.044
3.6010	, 12.854	, 22.429	, 0.040
3.7010	, 12.134	, 20.600	, 0.036
3.8010	, 11.308	, 18.693	, 0.031
3.9010	, 10.421	, 16.784	, 0.028
4.0010	, 10.282	, 16.146	, 0.026
4.1010	, 10.172	, 15.585	, 0.024
4.2010	, 10.044	, 15.023	, 0.023
4.3010	, 9.902	, 14.466	, 0.022
4.4010	, 9.746	, 13.915	, 0.020
4.5010	, 9.581	, 13.374	, 0.019
4.6010	, 9.406	, 12.844	, 0.018
4.7010	, 9.225	, 12.330	, 0.017
4.8010	, 9.039	, 11.829	, 0.016
4.9010	, 8.850	, 11.346	, 0.015
5.0010	, 8.660	, 10.880	, 0.014
5.1010	, 8.469	, 10.432	, 0.013
5.2010	, 8.279	, 10.002	, 0.012
5.3010	, 8.091	, 9.590	, 0.012
5.4010	, 7.906	, 9.197	, 0.011
5.5010	, 7.724	, 8.822	, 0.010
5.6010	, 7.546	, 8.465	, 0.010
5.7010	, 7.373	, 8.126	, 0.009
5.8010	, 7.205	, 7.804	, 0.009
5.9010	, 7.042	, 7.498	, 0.008
6.0010	, 6.884	, 7.208	, 0.008
6.1010	, 6.732	, 6.933	, 0.007
6.2010	, 6.585	, 6.673	, 0.007
6.3010	, 6.445	, 6.426	, 0.007
6.4010	, 6.386	, 6.269	, 0.006
6.5010	, 6.532	, 6.314	, 0.006
6.6010	, 6.681	, 6.359	, 0.006
6.7010	, 6.830	, 6.404	, 0.006
6.8010	, 6.977	, 6.446	, 0.006
6.9010	, 7.121	, 6.483	, 0.006
7.0010	, 7.261	, 6.517	, 0.006
7.1010	, 7.396	, 6.544	, 0.006
7.2010	, 7.525	, 6.566	, 0.006
7.3010	, 7.647	, 6.581	, 0.006
7.4010	, 7.762	, 6.590	, 0.006
7.5010	, 7.870	, 6.592	, 0.006
7.6010	, 7.970	, 6.589	, 0.006
7.7010	, 8.063	, 6.579	, 0.005
7.8010	, 8.148	, 6.563	, 0.005
7.9010	, 8.225	, 6.541	, 0.005
8.0010	, 8.295	, 6.514	, 0.005
8.1010	, 8.358	, 6.482	, 0.005
8.2010	, 8.414	, 6.446	, 0.005
8.3010	, 8.462	, 6.405	, 0.005
8.4010	, 8.504	, 6.360	, 0.005
8.5010	, 8.540	, 6.312	, 0.005
8.6010	, 8.570	, 6.260	, 0.005
8.7010	, 8.594	, 6.206	, 0.005
8.8010	, 8.612	, 6.148	, 0.004
8.9010	, 8.626	, 6.089	, 0.004
9.0010	, 8.634	, 6.027	, 0.004
9.1010	, 8.639	, 5.964	, 0.004
9.2010	, 8.638	, 5.899	, 0.004
9.3010	, 8.634	, 5.833	, 0.004
9.4010	, 8.627	, 5.766	, 0.004
9.5010	, 8.616	, 5.698	, 0.004
9.6010	, 8.601	, 5.629	, 0.004
9.7010	, 8.584	, 5.560	, 0.004
9.8010	, 8.565	, 5.491	, 0.004
9.9010	, 8.542	, 5.421	, 0.004
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0002955	0.0000000	0.0000000	0.0000000
0.005	0.0002931	0.0014435	0.0000036	0.0000000
0.010	0.0002908	0.0028755	0.0000144	0.0000000
0.015	0.0002880	0.0042951	0.0000323	0.0000000
0.020	0.0002852	0.0057009	0.0000573	0.0000001
0.025	0.0002818	0.0070914	0.0000893	0.0000001
0.030	0.0002784	0.0084653	0.0001282	0.0000001
0.035	0.0002748	0.0098219	0.0001739	0.0000001
0.040	0.0002719	0.0111627	0.0002264	0.0000001
0.045	0.0002695	0.0124905	0.0002855	0.0000001
0.050	0.0002682	0.0138092	0.0003513	0.0000001
0.055	0.0002676	0.0151233	0.0004236	0.0000001
0.060	0.0002687	0.0164384	0.0005025	0.0000002
0.065	0.0002708	0.0177614	0.0005880	0.0000002
0.070	0.0002740	0.0190975	0.0006801	0.0000002
0.075	0.0002776	0.0204505	0.0007790	0.0000002
0.080	0.0002808	0.0218199	0.0008847	0.0000002
