 
PGA:,  0.18 g
PGV:,  26.63 cm/s
PGD:,  14.21 cm
Arias Intensity:,  117.37 cm/s
Significant duration:,  151.04 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.028	, 0.181
0.1010	, 0.067	, 4.159	, 0.264
0.2010	, 0.450	, 14.072	, 0.448
0.3010	, 1.201	, 25.074	, 0.534
0.4010	, 1.335	, 20.925	, 0.334
0.5010	, 2.433	, 30.514	, 0.390
0.6010	, 3.108	, 32.490	, 0.346
0.7010	, 4.025	, 36.078	, 0.330
0.8010	, 5.364	, 42.075	, 0.336
0.9010	, 5.955	, 41.528	, 0.295
1.0010	, 4.692	, 29.453	, 0.188
1.1010	, 5.709	, 32.580	, 0.190
1.2010	, 7.081	, 37.046	, 0.198
1.3010	, 8.606	, 41.564	, 0.205
1.4010	, 9.543	, 42.798	, 0.196
1.5010	, 12.162	, 50.909	, 0.217
1.6010	, 16.404	, 64.379	, 0.258
1.7010	, 18.743	, 69.233	, 0.261
1.8010	, 20.562	, 71.737	, 0.255
1.9010	, 21.363	, 70.610	, 0.238
2.0010	, 20.149	, 63.267	, 0.203
2.1010	, 20.796	, 62.193	, 0.190
2.2010	, 23.478	, 67.024	, 0.195
2.3010	, 25.643	, 70.022	, 0.195
2.4010	, 25.380	, 66.416	, 0.177
2.5010	, 23.925	, 60.106	, 0.154
2.6010	, 23.359	, 56.428	, 0.139
2.7010	, 23.396	, 54.425	, 0.129
2.8010	, 22.879	, 51.322	, 0.117
2.9010	, 22.071	, 47.803	, 0.106
3.0010	, 22.598	, 47.313	, 0.101
3.1010	, 22.325	, 45.235	, 0.093
3.2010	, 21.276	, 41.763	, 0.084
3.3010	, 20.137	, 38.329	, 0.074
3.4010	, 21.333	, 39.412	, 0.074
3.5010	, 21.469	, 38.530	, 0.070
3.6010	, 19.744	, 34.450	, 0.061
3.7010	, 21.934	, 37.237	, 0.064
3.8010	, 24.805	, 41.004	, 0.069
3.9010	, 28.554	, 45.990	, 0.076
4.0010	, 31.343	, 49.221	, 0.079
4.1010	, 32.452	, 49.720	, 0.078
4.2010	, 32.551	, 48.684	, 0.074
4.3010	, 32.603	, 47.629	, 0.071
4.4010	, 30.764	, 43.920	, 0.064
4.5010	, 27.653	, 38.602	, 0.055
4.6010	, 27.280	, 37.255	, 0.052
4.7010	, 26.144	, 34.943	, 0.048
4.8010	, 25.892	, 33.885	, 0.045
4.9010	, 26.621	, 34.129	, 0.045
5.0010	, 27.021	, 33.949	, 0.043
5.1010	, 27.164	, 33.459	, 0.042
5.2010	, 27.203	, 32.863	, 0.040
5.3010	, 27.275	, 32.328	, 0.039
5.4010	, 27.250	, 31.702	, 0.038
5.5010	, 27.176	, 31.041	, 0.036
5.6010	, 27.104	, 30.405	, 0.035
5.7010	, 27.078	, 29.843	, 0.034
5.8010	, 27.081	, 29.332	, 0.032
5.9010	, 27.079	, 28.832	, 0.031
