 
PGA:,  0.08 g
PGV:,  15.10 cm/s
PGD:,  7.45 cm
Arias Intensity:,  19.31 cm/s
Significant duration:,  90.81 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.012	, 0.076
0.1010	, 0.025	, 1.575	, 0.100
0.2010	, 0.145	, 4.541	, 0.145
0.3010	, 0.553	, 11.548	, 0.246
0.4010	, 0.701	, 10.976	, 0.175
0.5010	, 0.988	, 12.387	, 0.158
0.6010	, 1.000	, 10.453	, 0.111
0.7010	, 1.866	, 16.729	, 0.153
0.8010	, 2.533	, 19.867	, 0.159
0.9010	, 2.473	, 17.245	, 0.123
1.0010	, 2.446	, 15.356	, 0.098
1.1010	, 3.084	, 17.598	, 0.102
1.2010	, 3.098	, 16.208	, 0.086
1.3010	, 4.057	, 19.592	, 0.096
1.4010	, 3.858	, 17.304	, 0.079
1.5010	, 5.531	, 23.151	, 0.099
1.6010	, 7.893	, 30.976	, 0.124
1.7010	, 10.806	, 39.915	, 0.150
1.8010	, 14.059	, 49.047	, 0.174
1.9010	, 17.210	, 56.883	, 0.192
2.0010	, 17.610	, 55.295	, 0.177
2.1010	, 16.288	, 48.712	, 0.148
2.2010	, 17.347	, 49.519	, 0.144
2.3010	, 16.101	, 43.965	, 0.122
2.4010	, 14.144	, 37.014	, 0.099
2.5010	, 13.104	, 32.922	, 0.084
2.6010	, 12.696	, 30.670	, 0.076
2.7010	, 12.942	, 30.107	, 0.071
2.8010	, 13.111	, 29.411	, 0.067
2.9010	, 12.750	, 27.614	, 0.061
3.0010	, 11.765	, 24.632	, 0.053
3.1010	, 11.138	, 22.568	, 0.047
3.2010	, 10.604	, 20.814	, 0.042
3.3010	, 10.462	, 19.914	, 0.039
3.4010	, 10.731	, 19.825	, 0.037
3.5010	, 11.181	, 20.066	, 0.037
3.6010	, 11.548	, 20.150	, 0.036
3.7010	, 11.660	, 19.795	, 0.034
3.8010	, 11.459	, 18.942	, 0.032
3.9010	, 10.977	, 17.680	, 0.029
4.0010	, 11.017	, 17.301	, 0.028
4.1010	, 11.281	, 17.283	, 0.027
4.2010	, 11.189	, 16.735	, 0.026
4.3010	, 10.896	, 15.918	, 0.024
4.4010	, 10.557	, 15.071	, 0.022
4.5010	, 10.233	, 14.285	, 0.020
4.6010	, 9.899	, 13.518	, 0.019
4.7010	, 10.271	, 13.728	, 0.019
4.8010	, 10.926	, 14.299	, 0.019
4.9010	, 11.412	, 14.630	, 0.019
5.0010	, 11.691	, 14.689	, 0.019
5.1010	, 11.783	, 14.514	, 0.018
5.2010	, 11.751	, 14.196	, 0.017
5.3010	, 11.683	, 13.848	, 0.017
5.4010	, 11.659	, 13.563	, 0.016
5.5010	, 11.722	, 13.389	, 0.016
5.6010	, 11.872	, 13.318	, 0.015
5.7010	, 12.062	, 13.294	, 0.015
5.8010	, 12.225	, 13.241	, 0.015
5.9010	, 12.285	, 13.081	, 0.014
6.0010	, 12.181	, 12.754	, 0.014
6.1010	, 11.865	, 12.219	, 0.013
6.2010	, 11.591	, 11.744	, 0.012
