 
PGA:,  0.09 g
PGV:,  7.65 cm/s
PGD:,  6.04 cm
Arias Intensity:,  16.75 cm/s
Significant duration:,  92.56 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.013	, 0.086
0.1010	, 0.027	, 1.658	, 0.105
0.2010	, 0.190	, 5.946	, 0.189
0.3010	, 0.551	, 11.510	, 0.245
0.4010	, 0.561	, 8.788	, 0.140
0.5010	, 1.169	, 14.665	, 0.187
0.6010	, 1.477	, 15.442	, 0.165
0.7010	, 1.671	, 14.976	, 0.137
0.8010	, 1.745	, 13.691	, 0.109
0.9010	, 1.593	, 11.108	, 0.079
1.0010	, 1.763	, 11.068	, 0.071
1.1010	, 2.634	, 15.031	, 0.087
1.2010	, 2.716	, 14.209	, 0.076
1.3010	, 3.266	, 15.771	, 0.078
1.4010	, 3.471	, 15.569	, 0.071
1.5010	, 3.210	, 13.436	, 0.057
1.6010	, 3.158	, 12.395	, 0.050
1.7010	, 3.190	, 11.784	, 0.044
1.8010	, 3.029	, 10.568	, 0.038
1.9010	, 3.120	, 10.311	, 0.035
2.0010	, 2.844	, 8.929	, 0.029
2.1010	, 2.588	, 7.741	, 0.024
2.2010	, 2.923	, 8.343	, 0.024
2.3010	, 2.594	, 7.084	, 0.020
2.4010	, 2.604	, 6.813	, 0.018
2.5010	, 2.749	, 6.906	, 0.018
2.6010	, 3.527	, 8.521	, 0.021
2.7010	, 4.394	, 10.222	, 0.024
2.8010	, 4.918	, 11.032	, 0.025
2.9010	, 4.628	, 10.025	, 0.022
3.0010	, 4.363	, 9.134	, 0.019
3.1010	, 3.972	, 8.047	, 0.017
3.2010	, 3.687	, 7.236	, 0.014
3.3010	, 3.953	, 7.523	, 0.015
3.4010	, 4.450	, 8.221	, 0.015
3.5010	, 5.046	, 9.056	, 0.017
3.6010	, 5.785	, 10.093	, 0.018
3.7010	, 6.495	, 11.027	, 0.019
3.8010	, 6.801	, 11.243	, 0.019
3.9010	, 6.970	, 11.226	, 0.018
4.0010	, 7.534	, 11.831	, 0.019
4.1010	, 8.367	, 12.820	, 0.020
4.2010	, 9.242	, 13.822	, 0.021
4.3010	, 10.042	, 14.669	, 0.022
4.4010	, 10.734	, 15.325	, 0.022
4.5010	, 11.282	, 15.749	, 0.022
4.6010	, 11.671	, 15.938	, 0.022
4.7010	, 11.907	, 15.914	, 0.022
4.8010	, 12.028	, 15.741	, 0.021
4.9010	, 12.061	, 15.462	, 0.020
5.0010	, 12.043	, 15.130	, 0.019
5.1010	, 11.971	, 14.745	, 0.019
5.2010	, 11.952	, 14.439	, 0.018
5.3010	, 11.888	, 14.090	, 0.017
