 
PGA:,  0.08 g
PGV:,  12.40 cm/s
PGD:,  16.51 cm
Arias Intensity:,  17.61 cm/s
Significant duration:,  92.35 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.013	, 0.084
0.1010	, 0.041	, 2.550	, 0.162
0.2010	, 0.193	, 6.047	, 0.193
0.3010	, 0.487	, 10.156	, 0.216
0.4010	, 0.593	, 9.294	, 0.148
0.5010	, 0.863	, 10.828	, 0.138
0.6010	, 1.448	, 15.137	, 0.161
0.7010	, 1.629	, 14.599	, 0.133
0.8010	, 1.450	, 11.374	, 0.091
0.9010	, 2.131	, 14.858	, 0.106
1.0010	, 1.972	, 12.377	, 0.079
1.1010	, 2.183	, 12.457	, 0.072
1.2010	, 2.372	, 12.410	, 0.066
1.3010	, 2.784	, 13.444	, 0.066
1.4010	, 2.998	, 13.446	, 0.061
1.5010	, 3.401	, 14.235	, 0.061
1.6010	, 3.509	, 13.772	, 0.055
1.7010	, 3.141	, 11.601	, 0.044
1.8010	, 2.854	, 9.956	, 0.035
1.9010	, 2.851	, 9.422	, 0.032
2.0010	, 3.449	, 10.831	, 0.035
2.1010	, 4.128	, 12.344	, 0.038
2.2010	, 4.276	, 12.207	, 0.036
2.3010	, 4.198	, 11.464	, 0.032
2.4010	, 4.407	, 11.534	, 0.031
2.5010	, 4.749	, 11.930	, 0.031
2.6010	, 5.185	, 12.526	, 0.031
2.7010	, 5.502	, 12.799	, 0.030
2.8010	, 5.554	, 12.459	, 0.028
2.9010	, 5.447	, 11.798	, 0.026
3.0010	, 5.715	, 11.965	, 0.026
3.1010	, 6.370	, 12.907	, 0.027
3.2010	, 6.802	, 13.352	, 0.027
3.3010	, 6.982	, 13.290	, 0.026
3.4010	, 7.054	, 13.033	, 0.025
3.5010	, 6.867	, 12.323	, 0.023
3.6010	, 6.904	, 12.047	, 0.021
3.7010	, 6.652	, 11.294	, 0.020
3.8010	, 6.283	, 10.386	, 0.018
3.9010	, 5.774	, 9.300	, 0.015
4.0010	, 5.955	, 9.352	, 0.015
4.1010	, 6.251	, 9.578	, 0.015
4.2010	, 6.363	, 9.516	, 0.015
4.3010	, 6.320	, 9.232	, 0.014
4.4010	, 6.260	, 8.938	, 0.013
4.5010	, 6.328	, 8.834	, 0.013
4.6010	, 6.348	, 8.669	, 0.012
4.7010	, 6.373	, 8.517	, 0.012
4.8010	, 6.368	, 8.334	, 0.011
4.9010	, 6.330	, 8.115	, 0.011
5.0010	, 6.713	, 8.434	, 0.011
